2025-01-14 14:05:54,339 - INFO - Starting grid search for IDM parameters...
2025-01-14 14:05:55,340 - INFO - Run optimization...
2025-01-14 14:14:37,901 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=3.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.5788
2025-01-14 14:14:38,371 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=4.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0555
2025-01-14 14:14:38,858 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=3.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.3453
2025-01-14 14:14:42,105 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=3.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=1.1623
2025-01-14 14:14:42,683 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=4.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2961
2025-01-14 14:14:46,929 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=3.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.4414
2025-01-14 14:14:50,324 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=4.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4112
2025-01-14 14:14:52,469 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=3.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.3892
2025-01-14 14:14:56,225 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=4.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.8018
2025-01-14 14:15:07,707 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=3.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.5942
2025-01-14 14:15:25,120 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=4.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2278
2025-01-14 14:15:57,524 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=4.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0993
2025-01-14 14:16:07,241 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=4.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3209
2025-01-14 14:16:15,948 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=4.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.2247
